road_name,room_count,house_type,mt_sq,constr_year,discount,price,postal_code,price_mt_sq,date,sale_type
"Johannes V. Jensens Alle 26, 2. 1",4,Lejlighed,151,1979,-0.02,41e5,2000 Frederiksberg,27152,2016-06-16,Alm. Salg
"Holger Danskes Vej 45, 5. 56",2,Lejlighed,77,1967,NA,2225e3,2000 Frederiksberg,28896,2016-06-15,Fam. Salg
"Guldborgvej 36, 3. 14",2,Lejlighed,61,1974,NA,184e4,2000 Frederiksberg,30163,2016-06-15,Fam. Salg
"Grøndalsvej 10, 1. tv",4,Lejlighed,87,1934,-0.07,3635e3,2000 Frederiksberg,41781,2016-06-15,Alm. Salg
Arveprinsensvej 10,4,Lejlighed,110,1903,0,3895e3,2000 Frederiksberg,35409,2016-06-15,Alm. Salg
"Franckesvej 5, st. th",2,Lejlighed,43,1887,NA,745e3,2000 Frederiksberg,17325,2016-06-15,Fam. Salg
"Guldborgvej 37, 3. th",3,Lejlighed,76,1902,-0.02,312e4,2000 Frederiksberg,41052,2016-06-14,Alm. Salg
"Frederiksvej 44, 4. tv",2,Lejlighed,48,1902,-0.08,192e4,2000 Frederiksberg,4e4,2016-06-14,Alm. Salg
"Nordre Fasanvej 114, 2. tv",2,Lejlighed,49,1897,NA,13e5,2000 Frederiksberg,26530,2016-06-14,Fam. Salg
"Bispeengen 19, 2. th",3,Lejlighed,76,1913,NA,2228e3,2000 Frederiksberg,29315,2016-06-13,Fam. Salg
"Porcelænshaven 2F, 2. 2",3,Lejlighed,86,1861,-0.01,446e4,2000 Frederiksberg,51860,2016-06-13,Alm. Salg
"Mariendalsvej 50F, 3. mf",2,Lejlighed,66,1995,0,265e4,2000 Frederiksberg,40151,2016-06-13,Alm. Salg
"Frederiksvej 22, 3. tv",3,Lejlighed,77,1903,0,33e5,2000 Frederiksberg,42857,2016-06-13,Alm. Salg
"Pelargonievej 3, 2. th",3,Lejlighed,85,1989,0.05,261e4,2000 Frederiksberg,30705,2016-06-13,Alm. Salg
"Dirch Passers Allé 5, 3. th",3,Lejlighed,96,2008,-0.02,3725e3,2000 Frederiksberg,38802,2016-06-13,Alm. Salg
"Frederik VIs Alle 3, 4. tv",4,Lejlighed,107,1905,-0.01,519e4,2000 Frederiksberg,48504,2016-06-12,Alm. Salg
"Smallegade 26A, 3. tv",2,Lejlighed,60,1941,-0.04,245e4,2000 Frederiksberg,40833,2016-06-12,Alm. Salg
"Finsensvej 77, 2. th",4,Lejlighed,93,1926,NA,15e5,2000 Frederiksberg,16129,2016-06-10,Alm. Salg
"Mariendalsvej 13, 6. tv",3,Lejlighed,89,1969,NA,346e4,2000 Frederiksberg,38876,2016-06-10,Alm. Salg
"Arveprinsensvej 3, 1",5,Lejlighed,116,1882,-0.01,64e5,2000 Frederiksberg,55172,2016-06-09,Alm. Salg
"Godthåbsvej 119, 3. th",4,Lejlighed,93,1932,0,3495e3,2000 Frederiksberg,37580,2016-06-07,Alm. Salg
"C.F. Richs Vej 148, 1. th",2,Lejlighed,57,1935,NA,1635e3,2000 Frederiksberg,28684,2016-06-07,Alm. Salg
